dataset,count,mean,median,std,min,p25,p75,p90,p95,p99,max
coding,14610,13837.466666666667,5301.0,21357.647247721954,154,1918.25,16377.0,37353.20000000001,57048.49999999996,105799.75999999997,243381
math,3000,41145.46666666667,13030.5,79666.9407425982,115,3689.5,42792.5,103782.59999999996,166540.0999999996,404484.97999999725,879824
science,2970,21848.866666666665,9412.0,33705.22470128473,258,3103.5,26195.75,56806.99999999999,86146.54999999999,171062.81,362221
